internalTaxonId,scientificName,name,language,main
87564146,Tortula leucostoma,Alpine Pottia,English,true
87530955,Trichocolea tomentella,Handsome Woollywort,English,true
87495500,Geocalyx graveolens,Turps Pouchwort,English,true
87496758,Marsupella condensata,Compact Rustwort,English,true
87466181,Myrinia pulvinata,Svämmossa,Swedish,false
87466181,Myrinia pulvinata,Flood-moss,English,true
87524924,Scapania lingulata,Tongue Earwort,English,true
87569778,Splachnum ampullaceum,Cruet Collar-moss,English,true
87560757,Gyroweisia reflexa,Reflexed Beardless-moss,English,true
83659958,Philonotis calcarea,Kalk-Quellmoos,German,false
83659958,Philonotis calcarea,Thick-nerved Apple-moss,English,true
83660106,Philonotis rigida,Rigid Apple-Moss,English,true
78662089,Mesoptychia gillmanii,Gillman's Notchwort,English,true
78662144,Mesoptychia rutheana,Fen Notchwort,English,true
87541903,Polytrichastrum sexangulare,Northern Haircap,English,true
78591292,Acrobolbus wilsonii,Wilson's Pouchwort,English,true
84375825,Campyliadelphus elodes,Fine-leaved Marsh Feather-moss,English,true
84376261,Conardia compacta,Compact Feather-moss,English,true
86186454,Drepanocladus sendtneri,Sendtners Sichelmoos,German,false
86186454,Drepanocladus sendtneri,Chalk Hook-moss,English,true
83659772,Andreaea sinuosa,Sinuose Rock-moss,English,true
83659989,Philonotis cernua,Swan-necked Apple-moss,English,true
83660098,Philonotis marchica,Märkisches Quellmoos,German,false
83660098,Philonotis marchica,Southern Apple-moss,English,true
83662242,Bryum calophyllum,Schönblättriges Birnmoos,German,false
83662242,Bryum calophyllum,Matted Bryum,English,true
83662266,Bryum dixonii,Dixon's Bryum,English,true
83662270,Bryum dyffrynense,Dyffryn Bryum,English,true
83662419,Bryum knowltonii,Knowltons Birnmoos,German,false
83662419,Bryum knowltonii,Knowlton's Bryum,English,true
83662499,Bryum marratii,Marrats Birnmoos,German,false
83662499,Bryum marratii,Baltic Bryum,English,true
83662891,Bryum riparium,River Bryum,English,true
83663258,Bryum turbinatum,Kreiselfrüchtiges Birnmoos,German,false
83663258,Bryum turbinatum,Pear-fruited Bryum,English,true
83663482,Bryum warneum,Mamillen Birnmoos,German,false
83663482,Bryum warneum,Warne's Thread-moss,English,true
84254812,Ptychostomum cernuum,Sumpf-Birnmoos,German,false
84254812,Ptychostomum cernuum,Cernuous Bryum,English,true
84254944,Ptychostomum demissum,Alpine Hump-moss,English,true
86484012,Hamatocaulis vernicosus,Shining Sickle-moss,English,false
86484012,Hamatocaulis vernicosus,Varnished Hook-moss,English,false
86484012,Hamatocaulis vernicosus,Firnisglänzendes Krückstockmoos,German,false
86484012,Hamatocaulis vernicosus,Firnisglänzendes Sichelmoos,German,false
86484012,Hamatocaulis vernicosus,Käppkrokmossa,Swedish,false
86484012,Hamatocaulis vernicosus,Slender Green Feather-moss,English,true
87574513,Cephaloziella nicholsonii,Greater Copperwort,English,true
84342750,Ceratodon conicus,Kalkbrännmossa,Swedish,false
84342750,Ceratodon conicus,Scarce Redshank,English,true
39163,Ditrichum cornubicum,Cornish Path-moss,English,true
84765678,Ditrichum plumbicola,Blei-Doppelhaarmoos,German,false
84765678,Ditrichum plumbicola,Lead-moss,English,true
87580415,Ephemerum cohaerens,Rasiges Tagmoos,German,false
87580415,Ephemerum cohaerens,Clustered Earth-moss,English,true
87580464,Ephemerum crassinervium,Sessile Earth-moss,English,false
87580464,Ephemerum crassinervium,Ruthes Tagmoos,German,false
87580464,Ephemerum crassinervium,Sitzendes Tagmoos,German,false
87580464,Ephemerum crassinervium,Thick-nerved Earth-moss,English,true
87580552,Ephemerum recurvifolium,Krummblättriges Tagmoos,German,false
87580552,Ephemerum recurvifolium,Strap-leaved Earth-moss,English,true
87575330,Micromitrium tenerum,Zartes Kleinmützenmoos,German,false
